Namespace(device='cuda:1', in_size=3, num_classes=2, fusion_type='early', gcn_channels=3, gcn_hidden=64, gcn_layers=4, gcn_dropout=0.1, trans_num_layers=4, input_node_dim=3, hidden_node_dim=32, input_edge_dim=0, hidden_edge_dim=32, ouput_dim=None, n_heads=4, max_in_degree=5, max_out_degree=5, max_path_distance=5, hidden_dim=64, num_layers=4, num_features=3, num_heads=8, dropout=0.1, pos_encoding='gcn', att_dropout=0.1, d_k=64, d_v=64, pos_embed_type='s', alpha=0.4, num_fusion_layers=4, loss_log=1, output_dim=2)
Epoch: 177,  Train loss: 0.512614,  Train Acc: 0.752809,  Test Acc: 0.699552
Epoch: 178,  Train loss: 0.520401,  Train Acc: 0.774157,  Test Acc: 0.721973
Epoch: 179,  Train loss: 0.511661,  Train Acc: 0.766292,  Test Acc: 0.717489
Epoch: 180,  Train loss: 0.505699,  Train Acc: 0.765169,  Test Acc: 0.721973
Epoch: 181,  Train loss: 0.510441,  Train Acc: 0.769663,  Test Acc: 0.726457
Epoch: 182,  Train loss: 0.518902,  Train Acc: 0.770787,  Test Acc: 0.717489
Epoch: 183,  Train loss: 0.521785,  Train Acc: 0.768539,  Test Acc: 0.717489
Epoch: 184,  Train loss: 0.524354,  Train Acc: 0.742697,  Test Acc: 0.713004
Epoch: 185,  Train loss: 0.528545,  Train Acc: 0.751685,  Test Acc: 0.730942
Epoch: 186,  Train loss: 0.523842,  Train Acc: 0.761798,  Test Acc: 0.717489
Epoch: 187,  Train loss: 0.524625,  Train Acc: 0.761798,  Test Acc: 0.717489
Epoch: 188,  Train loss: 0.522174,  Train Acc: 0.764045,  Test Acc: 0.726457
Epoch: 189,  Train loss: 0.519481,  Train Acc: 0.769663,  Test Acc: 0.717489
Epoch: 190,  Train loss: 0.513187,  Train Acc: 0.770787,  Test Acc: 0.717489
Epoch: 191,  Train loss: 0.519289,  Train Acc: 0.749438,  Test Acc: 0.717489
Epoch: 192,  Train loss: 0.521930,  Train Acc: 0.761798,  Test Acc: 0.708520
Epoch: 193,  Train loss: 0.520982,  Train Acc: 0.756180,  Test Acc: 0.713004
Epoch: 194,  Train loss: 0.516285,  Train Acc: 0.769663,  Test Acc: 0.704036
Epoch: 195,  Train loss: 0.516140,  Train Acc: 0.762921,  Test Acc: 0.713004
Epoch: 196,  Train loss: 0.517139,  Train Acc: 0.764045,  Test Acc: 0.713004
Epoch: 197,  Train loss: 0.524013,  Train Acc: 0.780899,  Test Acc: 0.713004
Epoch: 198,  Train loss: 0.520920,  Train Acc: 0.764045,  Test Acc: 0.704036
Epoch: 199,  Train loss: 0.517873,  Train Acc: 0.766292,  Test Acc: 0.713004
Epoch: 200,  Train loss: 0.514619,  Train Acc: 0.756180,  Test Acc: 0.717489
Epoch: 201,  Train loss: 0.512164,  Train Acc: 0.761798,  Test Acc: 0.717489
Epoch: 202,  Train loss: 0.514830,  Train Acc: 0.769663,  Test Acc: 0.713004
Epoch: 203,  Train loss: 0.513611,  Train Acc: 0.756180,  Test Acc: 0.695067
Epoch: 204,  Train loss: 0.526082,  Train Acc: 0.758427,  Test Acc: 0.713004
Epoch: 205,  Train loss: 0.533702,  Train Acc: 0.761798,  Test Acc: 0.704036
Epoch: 206,  Train loss: 0.514298,  Train Acc: 0.758427,  Test Acc: 0.708520
Epoch: 207,  Train loss: 0.513016,  Train Acc: 0.777528,  Test Acc: 0.708520
Epoch: 208,  Train loss: 0.516392,  Train Acc: 0.760674,  Test Acc: 0.708520
Epoch: 209,  Train loss: 0.519078,  Train Acc: 0.758427,  Test Acc: 0.699552
Epoch: 210,  Train loss: 0.511533,  Train Acc: 0.779775,  Test Acc: 0.713004
Epoch: 211,  Train loss: 0.510376,  Train Acc: 0.775281,  Test Acc: 0.721973
Epoch: 212,  Train loss: 0.509753,  Train Acc: 0.767416,  Test Acc: 0.690583
Epoch: 213,  Train loss: 0.505980,  Train Acc: 0.779775,  Test Acc: 0.713004
Epoch: 214,  Train loss: 0.512238,  Train Acc: 0.757303,  Test Acc: 0.721973
Epoch: 215,  Train loss: 0.511283,  Train Acc: 0.767416,  Test Acc: 0.726457
Epoch: 216,  Train loss: 0.517599,  Train Acc: 0.777528,  Test Acc: 0.721973
Epoch: 217,  Train loss: 0.565669,  Train Acc: 0.724719,  Test Acc: 0.713004
Epoch: 218,  Train loss: 0.553723,  Train Acc: 0.752809,  Test Acc: 0.735426
Epoch: 219,  Train loss: 0.546019,  Train Acc: 0.748315,  Test Acc: 0.713004
Epoch: 220,  Train loss: 0.537484,  Train Acc: 0.761798,  Test Acc: 0.708520
Epoch: 221,  Train loss: 0.531716,  Train Acc: 0.759551,  Test Acc: 0.717489
Epoch: 222,  Train loss: 0.531752,  Train Acc: 0.762921,  Test Acc: 0.713004
Epoch: 223,  Train loss: 0.528237,  Train Acc: 0.752809,  Test Acc: 0.704036
Epoch: 224,  Train loss: 0.525386,  Train Acc: 0.746067,  Test Acc: 0.713004
Epoch: 225,  Train loss: 0.516395,  Train Acc: 0.757303,  Test Acc: 0.717489
Epoch: 226,  Train loss: 0.518392,  Train Acc: 0.764045,  Test Acc: 0.704036
Epoch: 227,  Train loss: 0.515433,  Train Acc: 0.762921,  Test Acc: 0.713004
Epoch: 228,  Train loss: 0.510097,  Train Acc: 0.771910,  Test Acc: 0.708520
Epoch: 229,  Train loss: 0.521739,  Train Acc: 0.764045,  Test Acc: 0.721973
Epoch: 230,  Train loss: 0.517964,  Train Acc: 0.774157,  Test Acc: 0.708520
Epoch: 231,  Train loss: 0.504317,  Train Acc: 0.766292,  Test Acc: 0.704036
Epoch: 232,  Train loss: 0.514833,  Train Acc: 0.759551,  Test Acc: 0.708520
Epoch: 233,  Train loss: 0.499938,  Train Acc: 0.769663,  Test Acc: 0.699552
Epoch: 234,  Train loss: 0.516359,  Train Acc: 0.765169,  Test Acc: 0.717489
Epoch: 235,  Train loss: 0.503455,  Train Acc: 0.768539,  Test Acc: 0.704036
Epoch: 236,  Train loss: 0.516057,  Train Acc: 0.770787,  Test Acc: 0.721973
Epoch: 237,  Train loss: 0.506737,  Train Acc: 0.767416,  Test Acc: 0.721973
Epoch: 238,  Train loss: 0.517992,  Train Acc: 0.773034,  Test Acc: 0.717489
Epoch: 239,  Train loss: 0.502432,  Train Acc: 0.775281,  Test Acc: 0.713004
Epoch: 240,  Train loss: 0.511853,  Train Acc: 0.778652,  Test Acc: 0.713004
Epoch: 241,  Train loss: 0.515081,  Train Acc: 0.783146,  Test Acc: 0.713004
Epoch: 242,  Train loss: 0.515128,  Train Acc: 0.774157,  Test Acc: 0.721973
Epoch: 243,  Train loss: 0.508074,  Train Acc: 0.764045,  Test Acc: 0.717489
Epoch: 244,  Train loss: 0.506553,  Train Acc: 0.777528,  Test Acc: 0.726457
Epoch: 245,  Train loss: 0.501876,  Train Acc: 0.776404,  Test Acc: 0.717489
Epoch: 246,  Train loss: 0.508376,  Train Acc: 0.771910,  Test Acc: 0.721973
Epoch: 247,  Train loss: 0.499195,  Train Acc: 0.773034,  Test Acc: 0.713004
Epoch: 248,  Train loss: 0.498161,  Train Acc: 0.780899,  Test Acc: 0.713004
Epoch: 249,  Train loss: 0.498671,  Train Acc: 0.775281,  Test Acc: 0.721973
Epoch: 250,  Train loss: 0.502927,  Train Acc: 0.775281,  Test Acc: 0.717489
Epoch: 251,  Train loss: 0.499191,  Train Acc: 0.776404,  Test Acc: 0.717489
Epoch: 252,  Train loss: 0.507509,  Train Acc: 0.782022,  Test Acc: 0.704036
Epoch: 253,  Train loss: 0.499401,  Train Acc: 0.764045,  Test Acc: 0.730942
Epoch: 254,  Train loss: 0.496792,  Train Acc: 0.766292,  Test Acc: 0.717489
Epoch: 255,  Train loss: 0.506531,  Train Acc: 0.773034,  Test Acc: 0.713004
Epoch: 256,  Train loss: 0.513179,  Train Acc: 0.765169,  Test Acc: 0.726457
Epoch: 257,  Train loss: 0.496137,  Train Acc: 0.778652,  Test Acc: 0.708520
Epoch: 258,  Train loss: 0.493079,  Train Acc: 0.771910,  Test Acc: 0.735426
Epoch: 259,  Train loss: 0.498219,  Train Acc: 0.780899,  Test Acc: 0.721973
Epoch: 260,  Train loss: 0.497037,  Train Acc: 0.774157,  Test Acc: 0.735426
Epoch: 261,  Train loss: 0.494430,  Train Acc: 0.773034,  Test Acc: 0.721973
Epoch: 262,  Train loss: 0.529014,  Train Acc: 0.773034,  Test Acc: 0.735426
Epoch: 263,  Train loss: 0.500894,  Train Acc: 0.777528,  Test Acc: 0.735426
Epoch: 264,  Train loss: 0.491331,  Train Acc: 0.782022,  Test Acc: 0.730942
Epoch: 265,  Train loss: 0.489057,  Train Acc: 0.778652,  Test Acc: 0.735426
Epoch: 266,  Train loss: 0.492214,  Train Acc: 0.778652,  Test Acc: 0.730942
Epoch: 267,  Train loss: 0.492726,  Train Acc: 0.774157,  Test Acc: 0.721973
Epoch: 268,  Train loss: 0.501643,  Train Acc: 0.770787,  Test Acc: 0.699552
Epoch: 269,  Train loss: 0.511375,  Train Acc: 0.783146,  Test Acc: 0.717489
Epoch: 270,  Train loss: 0.506881,  Train Acc: 0.777528,  Test Acc: 0.735426
Epoch: 271,  Train loss: 0.508670,  Train Acc: 0.778652,  Test Acc: 0.739910
Epoch: 272,  Train loss: 0.507950,  Train Acc: 0.776404,  Test Acc: 0.735426
Epoch: 273,  Train loss: 0.508890,  Train Acc: 0.774157,  Test Acc: 0.735426
Epoch: 274,  Train loss: 0.493850,  Train Acc: 0.776404,  Test Acc: 0.721973
Epoch: 275,  Train loss: 0.495523,  Train Acc: 0.784270,  Test Acc: 0.726457
Epoch: 276,  Train loss: 0.495908,  Train Acc: 0.784270,  Test Acc: 0.713004
Epoch: 277,  Train loss: 0.497117,  Train Acc: 0.778652,  Test Acc: 0.735426
Epoch: 278,  Train loss: 0.486776,  Train Acc: 0.771910,  Test Acc: 0.730942
